filename,line_number,declaration,reason,call_count,bindgen,public,highlight
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14043,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EC_KEY_check_key""] pub fn EC_KEY_check_key(key: *const EC_KEY) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14088,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EC_KEY_marshal_private_key""] pub fn EC_KEY_marshal_private_key( cbb: *mut CBB, key: *const EC_KEY, enc_flags: ::std::os::raw::c_uint, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14144,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_i2d_ECPrivateKey""] pub fn i2d_ECPrivateKey(key: *const EC_KEY, outp: *mut *mut u8) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14347,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_ECDSA_SIG_new""] pub fn ECDSA_SIG_new() -> *mut ECDSA_SIG;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14355,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_ECDSA_SIG_get0_r""] pub fn ECDSA_SIG_get0_r(sig: *const ECDSA_SIG) -> *const BIGNUM;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14617,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_AEAD_CTX_zero""] pub fn EVP_AEAD_CTX_zero(ctx: *mut EVP_AEAD_CTX);",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14664,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_AEAD_CTX_open""] pub fn EVP_AEAD_CTX_open( ctx: *const EVP_AEAD_CTX, out: *mut u8, out_len: *mut usize, max_out_len: usize, nonce: *const u8, nonce_len: usize, in_: *const u8, in_len: usize, ad: *const u8, ad_len: usize, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14775,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_AEAD_CTX_init_with_direction""] pub fn EVP_AEAD_CTX_init_with_direction( ctx: *mut EVP_AEAD_CTX, aead: *const EVP_AEAD, key: *const u8, key_len: usize, tag_len: usize, dir: evp_aead_direction_t, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,14982,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_up_ref""] pub fn EVP_PKEY_up_ref(pkey: *mut EVP_PKEY) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15109,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_marshal_public_key""] pub fn EVP_marshal_public_key(cbb: *mut CBB, key: *const EVP_PKEY) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15117,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_marshal_private_key""] pub fn EVP_marshal_private_key(cbb: *mut CBB, key: *const EVP_PKEY) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15126,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_new_raw_private_key""] pub fn EVP_PKEY_new_raw_private_key( type_: ::std::os::raw::c_int, unused: *mut ENGINE, in_: *const u8, len: usize, ) -> *mut EVP_PKEY;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15160,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_DigestSignInit""] pub fn EVP_DigestSignInit( ctx: *mut EVP_MD_CTX, pctx: *mut *mut EVP_PKEY_CTX, type_: *const EVP_MD, e: *mut ENGINE, pkey: *mut EVP_PKEY, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15196,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_DigestVerifyInit""] pub fn EVP_DigestVerifyInit( ctx: *mut EVP_MD_CTX, pctx: *mut *mut EVP_PKEY_CTX, type_: *const EVP_MD, e: *mut ENGINE, pkey: *mut EVP_PKEY, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15395,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_verify""] pub fn EVP_PKEY_verify( ctx: *mut EVP_PKEY_CTX, sig: *const u8, sig_len: usize, digest: *const u8, digest_len: usize, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
aws-lc-rs/aws-lc-fips-sys/src/x86_64_unknown_linux_gnu_crypto.rs,15451,"extern ""C"" { #[link_name = ""\u{1}aws_lc_fips_0_13_9_EVP_PKEY_derive_set_peer""] pub fn EVP_PKEY_derive_set_peer( ctx: *mut EVP_PKEY_CTX, peer: *mut EVP_PKEY, ) -> ::std::os::raw::c_int;",extern,22,False,False,False
